VacancyID,Job Title,Language,Education Level,Industry,Experience,VacancyDescription
34765,Cashier,German,High School,Wholesale and retail,0-1,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of German and 0-1 years of experience, preferably with a High School degree."
37905,Cleaner,German,High School,Cleaning,2-4,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of German and 2-4 years of experience, preferably with a High School degree."
47324,Administrative Clerk,French,Bachelor,Administration,2-4,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of French and 2-4 years of experience, preferably with a Bachelor degree."
39955,Truck Driver,English,High School,Transport,5-10,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of English and 5-10 years of experience, preferably with a High School degree."
34344,Janitor,German,High School,Cleaning,0-1,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of German and 0-1 years of experience, preferably with a High School degree."
40283,Cleaner,French,High School,Cleaning,5-10,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of French and 5-10 years of experience, preferably with a High School degree."
45648,Professor,German,PhD,Research,0-1,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of German and 0-1 years of experience, preferably with a PhD degree."
49682,Cashier,English,High School,Wholesale and retail,0-1,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of English and 0-1 years of experience, preferably with a High School degree."
36472,Finance Manager,German,Master,Wholesale and retail,10+,"We are looking for an additional Finance Manager to strengthen our team in the Wholesale and retail industry with knowledge of German and 10+ years of experience, preferably with a Master degree."
30512,Truck Driver,German,High School,Transport,5-10,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of German and 5-10 years of experience, preferably with a High School degree."
49352,Janitor,Spanish,High School,Cleaning,10+,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of Spanish and 10+ years of experience, preferably with a High School degree."
45309,Professor,Spanish,PhD,Research,2-4,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of Spanish and 2-4 years of experience, preferably with a PhD degree."
28211,Finance Manager,French,Master,Agriculture,10+,"We are looking for an additional Finance Manager to strengthen our team in the Agriculture industry with knowledge of French and 10+ years of experience, preferably with a Master degree."
33811,Administrative Clerk,German,Bachelor,Administration,10+,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of German and 10+ years of experience, preferably with a Bachelor degree."
42948,Janitor,French,High School,Cleaning,0-1,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of French and 0-1 years of experience, preferably with a High School degree."
33180,Janitor,English,High School,Cleaning,2-4,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of English and 2-4 years of experience, preferably with a High School degree."
49247,Finance Manager,Spanish,Master,Health and social services,10+,"We are looking for an additional Finance Manager to strengthen our team in the Health and social services industry with knowledge of Spanish and 10+ years of experience, preferably with a Master degree."
37018,Administrative Clerk,Spanish,Bachelor,Administration,2-4,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of Spanish and 2-4 years of experience, preferably with a Bachelor degree."
46179,Professor,Dutch,PhD,Research,0-1,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of Dutch and 0-1 years of experience, preferably with a PhD degree."
37479,Truck Driver,Dutch,High School,Transport,0-1,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of Dutch and 0-1 years of experience, preferably with a High School degree."
36897,Data Analyst,Spanish,Bachelor,Pharmaceutical,10+,"We are looking for an additional Data Analyst to strengthen our team in the Pharmaceutical industry with knowledge of Spanish and 10+ years of experience, preferably with a Bachelor degree."
26355,Data Analyst,German,Master,Manufacturing,10+,"We are looking for an additional Data Analyst to strengthen our team in the Manufacturing industry with knowledge of German and 10+ years of experience, preferably with a Master degree."
43219,Administrative Clerk,Dutch,High school,Administration,5-10,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of Dutch and 5-10 years of experience, preferably with a High school degree."
45907,Finance Manager,Dutch,Master,Research,5-10,"We are looking for an additional Finance Manager to strengthen our team in the Research industry with knowledge of Dutch and 5-10 years of experience, preferably with a Master degree."
37485,Truck Driver,Dutch,High School,Transport,0-1,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of Dutch and 0-1 years of experience, preferably with a High School degree."
43723,Finance Manager,German,Bachelor,Technology,10+,"We are looking for an additional Finance Manager to strengthen our team in the Technology industry with knowledge of German and 10+ years of experience, preferably with a Bachelor degree."
29469,Cleaner,English,High School,Cleaning,0-1,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of English and 0-1 years of experience, preferably with a High School degree."
46777,Cleaner,English,High School,Cleaning,2-4,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of English and 2-4 years of experience, preferably with a High School degree."
29568,Administrative Clerk,French,High school,Administration,5-10,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of French and 5-10 years of experience, preferably with a High school degree."
40011,Truck Driver,French,High School,Transport,10+,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of French and 10+ years of experience, preferably with a High School degree."
46647,Finance Manager,Spanish,Master,Logistics,10+,"We are looking for an additional Finance Manager to strengthen our team in the Logistics industry with knowledge of Spanish and 10+ years of experience, preferably with a Master degree."
25023,Administrative Clerk,German,High school,Administration,10+,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of German and 10+ years of experience, preferably with a High school degree."
49455,Data Analyst,Dutch,Bachelor,Health and social services,5-10,"We are looking for an additional Data Analyst to strengthen our team in the Health and social services industry with knowledge of Dutch and 5-10 years of experience, preferably with a Bachelor degree."
30660,Finance Manager,German,Master,Construction,10+,"We are looking for an additional Finance Manager to strengthen our team in the Construction industry with knowledge of German and 10+ years of experience, preferably with a Master degree."
35910,Professor,English,PhD,Research,0-1,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of English and 0-1 years of experience, preferably with a PhD degree."
29266,Administrative Clerk,English,Bachelor,Administration,2-4,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of English and 2-4 years of experience, preferably with a Bachelor degree."
47200,Data Analyst,German,Master,Agriculture,5-10,"We are looking for an additional Data Analyst to strengthen our team in the Agriculture industry with knowledge of German and 5-10 years of experience, preferably with a Master degree."
47387,Professor,English,PhD,Research,2-4,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of English and 2-4 years of experience, preferably with a PhD degree."
37091,Professor,English,PhD,Research,10+,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of English and 10+ years of experience, preferably with a PhD degree."
45813,Data Analyst,Dutch,Master,Wholesale and retail,2-4,"We are looking for an additional Data Analyst to strengthen our team in the Wholesale and retail industry with knowledge of Dutch and 2-4 years of experience, preferably with a Master degree."
46889,Finance Manager,German,Bachelor,Pharmaceutical,10+,"We are looking for an additional Finance Manager to strengthen our team in the Pharmaceutical industry with knowledge of German and 10+ years of experience, preferably with a Bachelor degree."
48161,Cashier,Dutch,High School,Wholesale and retail,10+,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of Dutch and 10+ years of experience, preferably with a High School degree."
33657,Cleaner,English,High School,Cleaning,5-10,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of English and 5-10 years of experience, preferably with a High School degree."
45510,Cashier,Spanish,High School,Wholesale and retail,5-10,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of Spanish and 5-10 years of experience, preferably with a High School degree."
28386,Janitor,Dutch,High School,Cleaning,5-10,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of Dutch and 5-10 years of experience, preferably with a High School degree."
28624,Truck Driver,Spanish,High School,Transport,0-1,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of Spanish and 0-1 years of experience, preferably with a High School degree."
49445,Cashier,Spanish,High School,Wholesale and retail,2-4,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of Spanish and 2-4 years of experience, preferably with a High School degree."
46888,Truck Driver,French,High School,Transport,10+,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of French and 10+ years of experience, preferably with a High School degree."
27035,Truck Driver,Spanish,High School,Transport,0-1,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of Spanish and 0-1 years of experience, preferably with a High School degree."
49591,Administrative Clerk,French,High school,Administration,2-4,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of French and 2-4 years of experience, preferably with a High school degree."
37058,Cleaner,Dutch,High School,Cleaning,0-1,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of Dutch and 0-1 years of experience, preferably with a High School degree."
36636,Professor,Spanish,PhD,Research,2-4,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of Spanish and 2-4 years of experience, preferably with a PhD degree."
49212,Administrative Clerk,French,Bachelor,Administration,2-4,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of French and 2-4 years of experience, preferably with a Bachelor degree."
38451,Truck Driver,German,High School,Transport,0-1,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of German and 0-1 years of experience, preferably with a High School degree."
30831,Administrative Clerk,English,High school,Administration,5-10,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of English and 5-10 years of experience, preferably with a High school degree."
46409,Cleaner,German,High School,Cleaning,10+,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of German and 10+ years of experience, preferably with a High School degree."
34938,Cashier,Dutch,High School,Wholesale and retail,5-10,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of Dutch and 5-10 years of experience, preferably with a High School degree."
27350,Cleaner,French,High School,Cleaning,10+,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of French and 10+ years of experience, preferably with a High School degree."
29681,Professor,English,PhD,Research,5-10,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of English and 5-10 years of experience, preferably with a PhD degree."
38855,Cashier,German,High School,Wholesale and retail,10+,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of German and 10+ years of experience, preferably with a High School degree."
46618,Finance Manager,Spanish,Master,Hotels and restaurants,10+,"We are looking for an additional Finance Manager to strengthen our team in the Hotels and restaurants industry with knowledge of Spanish and 10+ years of experience, preferably with a Master degree."
38375,Administrative Clerk,English,Bachelor,Administration,10+,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of English and 10+ years of experience, preferably with a Bachelor degree."
39605,Data Analyst,Dutch,Master,Education,10+,"We are looking for an additional Data Analyst to strengthen our team in the Education industry with knowledge of Dutch and 10+ years of experience, preferably with a Master degree."
38792,Cleaner,French,High School,Cleaning,5-10,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of French and 5-10 years of experience, preferably with a High School degree."
46131,Administrative Clerk,German,Bachelor,Administration,10+,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of German and 10+ years of experience, preferably with a Bachelor degree."
41627,Data Analyst,German,Bachelor,Transport,0-1,"We are looking for an additional Data Analyst to strengthen our team in the Transport industry with knowledge of German and 0-1 years of experience, preferably with a Bachelor degree."
25858,Finance Manager,English,Master,Hotels and restaurants,10+,"We are looking for an additional Finance Manager to strengthen our team in the Hotels and restaurants industry with knowledge of English and 10+ years of experience, preferably with a Master degree."
46213,Janitor,French,High School,Cleaning,0-1,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of French and 0-1 years of experience, preferably with a High School degree."
43665,Janitor,French,High School,Cleaning,5-10,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of French and 5-10 years of experience, preferably with a High School degree."
33694,Cleaner,French,High School,Cleaning,5-10,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of French and 5-10 years of experience, preferably with a High School degree."
26618,Truck Driver,Spanish,High School,Transport,0-1,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of Spanish and 0-1 years of experience, preferably with a High School degree."
49215,Administrative Clerk,Spanish,Bachelor,Administration,5-10,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of Spanish and 5-10 years of experience, preferably with a Bachelor degree."
35259,Truck Driver,French,High School,Transport,2-4,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of French and 2-4 years of experience, preferably with a High School degree."
43627,Finance Manager,French,Master,Research,10+,"We are looking for an additional Finance Manager to strengthen our team in the Research industry with knowledge of French and 10+ years of experience, preferably with a Master degree."
38183,Data Analyst,German,Master,Administration,5-10,"We are looking for an additional Data Analyst to strengthen our team in the Administration industry with knowledge of German and 5-10 years of experience, preferably with a Master degree."
34904,Finance Manager,Spanish,Master,Logistics,5-10,"We are looking for an additional Finance Manager to strengthen our team in the Logistics industry with knowledge of Spanish and 5-10 years of experience, preferably with a Master degree."
40856,Cleaner,German,High School,Cleaning,10+,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of German and 10+ years of experience, preferably with a High School degree."
26161,Janitor,French,High School,Cleaning,5-10,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of French and 5-10 years of experience, preferably with a High School degree."
33139,Data Analyst,German,Master,Wholesale and retail,5-10,"We are looking for an additional Data Analyst to strengthen our team in the Wholesale and retail industry with knowledge of German and 5-10 years of experience, preferably with a Master degree."
31567,Administrative Clerk,German,Bachelor,Administration,0-1,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of German and 0-1 years of experience, preferably with a Bachelor degree."
38904,Janitor,English,High School,Cleaning,10+,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of English and 10+ years of experience, preferably with a High School degree."
33738,Janitor,Dutch,High School,Cleaning,2-4,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of Dutch and 2-4 years of experience, preferably with a High School degree."
30588,Janitor,German,High School,Cleaning,5-10,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of German and 5-10 years of experience, preferably with a High School degree."
34472,Cleaner,Dutch,High School,Cleaning,2-4,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of Dutch and 2-4 years of experience, preferably with a High School degree."
35647,Janitor,German,High School,Cleaning,2-4,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of German and 2-4 years of experience, preferably with a High School degree."
49895,Professor,German,PhD,Research,2-4,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of German and 2-4 years of experience, preferably with a PhD degree."
31508,Professor,English,PhD,Research,2-4,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of English and 2-4 years of experience, preferably with a PhD degree."
48434,Truck Driver,Spanish,High School,Transport,0-1,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of Spanish and 0-1 years of experience, preferably with a High School degree."
30108,Administrative Clerk,French,High school,Administration,10+,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of French and 10+ years of experience, preferably with a High school degree."
25769,Finance Manager,English,Bachelor,Logistics,5-10,"We are looking for an additional Finance Manager to strengthen our team in the Logistics industry with knowledge of English and 5-10 years of experience, preferably with a Bachelor degree."
39096,Finance Manager,French,Master,Agriculture,5-10,"We are looking for an additional Finance Manager to strengthen our team in the Agriculture industry with knowledge of French and 5-10 years of experience, preferably with a Master degree."
35492,Finance Manager,Spanish,Bachelor,Technology,10+,"We are looking for an additional Finance Manager to strengthen our team in the Technology industry with knowledge of Spanish and 10+ years of experience, preferably with a Bachelor degree."
33869,Finance Manager,Spanish,Bachelor,Administration,10+,"We are looking for an additional Finance Manager to strengthen our team in the Administration industry with knowledge of Spanish and 10+ years of experience, preferably with a Bachelor degree."
48805,Administrative Clerk,Dutch,Bachelor,Administration,5-10,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of Dutch and 5-10 years of experience, preferably with a Bachelor degree."
49003,Finance Manager,French,Master,Wholesale and retail,10+,"We are looking for an additional Finance Manager to strengthen our team in the Wholesale and retail industry with knowledge of French and 10+ years of experience, preferably with a Master degree."
32371,Cashier,French,High School,Wholesale and retail,2-4,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of French and 2-4 years of experience, preferably with a High School degree."
29596,Professor,German,PhD,Research,10+,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of German and 10+ years of experience, preferably with a PhD degree."
38369,Cleaner,French,High School,Cleaning,0-1,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of French and 0-1 years of experience, preferably with a High School degree."
45773,Janitor,English,High School,Cleaning,2-4,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of English and 2-4 years of experience, preferably with a High School degree."
27201,Administrative Clerk,Dutch,Bachelor,Administration,5-10,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of Dutch and 5-10 years of experience, preferably with a Bachelor degree."
34665,Cleaner,English,High School,Cleaning,5-10,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of English and 5-10 years of experience, preferably with a High School degree."
32231,Finance Manager,Dutch,Master,Research,10+,"We are looking for an additional Finance Manager to strengthen our team in the Research industry with knowledge of Dutch and 10+ years of experience, preferably with a Master degree."
34778,Data Analyst,Spanish,Bachelor,Education,5-10,"We are looking for an additional Data Analyst to strengthen our team in the Education industry with knowledge of Spanish and 5-10 years of experience, preferably with a Bachelor degree."
26923,Cashier,English,High School,Wholesale and retail,5-10,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of English and 5-10 years of experience, preferably with a High School degree."
47790,Data Analyst,French,Master,Transport,10+,"We are looking for an additional Data Analyst to strengthen our team in the Transport industry with knowledge of French and 10+ years of experience, preferably with a Master degree."
46816,Truck Driver,Spanish,High School,Transport,0-1,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of Spanish and 0-1 years of experience, preferably with a High School degree."
31808,Administrative Clerk,English,High school,Administration,0-1,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of English and 0-1 years of experience, preferably with a High school degree."
40679,Administrative Clerk,Spanish,Bachelor,Administration,5-10,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of Spanish and 5-10 years of experience, preferably with a Bachelor degree."
27333,Professor,English,PhD,Research,2-4,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of English and 2-4 years of experience, preferably with a PhD degree."
36313,Truck Driver,German,High School,Transport,2-4,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of German and 2-4 years of experience, preferably with a High School degree."
29895,Cleaner,English,High School,Cleaning,5-10,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of English and 5-10 years of experience, preferably with a High School degree."
48307,Cashier,English,High School,Wholesale and retail,0-1,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of English and 0-1 years of experience, preferably with a High School degree."
33733,Truck Driver,French,High School,Transport,2-4,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of French and 2-4 years of experience, preferably with a High School degree."
31229,Administrative Clerk,French,High school,Administration,5-10,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of French and 5-10 years of experience, preferably with a High school degree."
28925,Professor,English,PhD,Research,5-10,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of English and 5-10 years of experience, preferably with a PhD degree."
26410,Data Analyst,Dutch,Bachelor,Administration,5-10,"We are looking for an additional Data Analyst to strengthen our team in the Administration industry with knowledge of Dutch and 5-10 years of experience, preferably with a Bachelor degree."
44946,Administrative Clerk,French,High school,Administration,2-4,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of French and 2-4 years of experience, preferably with a High school degree."
27129,Data Analyst,Spanish,Bachelor,Research,10+,"We are looking for an additional Data Analyst to strengthen our team in the Research industry with knowledge of Spanish and 10+ years of experience, preferably with a Bachelor degree."
35983,Administrative Clerk,German,High school,Administration,5-10,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of German and 5-10 years of experience, preferably with a High school degree."
47146,Janitor,German,High School,Cleaning,0-1,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of German and 0-1 years of experience, preferably with a High School degree."
38477,Administrative Clerk,English,High school,Administration,2-4,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of English and 2-4 years of experience, preferably with a High school degree."
42482,Cleaner,Spanish,High School,Cleaning,0-1,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of Spanish and 0-1 years of experience, preferably with a High School degree."
33109,Cashier,English,High School,Wholesale and retail,10+,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of English and 10+ years of experience, preferably with a High School degree."
46318,Data Analyst,French,Bachelor,Financial intermediation,10+,"We are looking for an additional Data Analyst to strengthen our team in the Financial intermediation industry with knowledge of French and 10+ years of experience, preferably with a Bachelor degree."
25989,Cleaner,English,High School,Cleaning,5-10,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of English and 5-10 years of experience, preferably with a High School degree."
45287,Professor,Spanish,PhD,Research,10+,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of Spanish and 10+ years of experience, preferably with a PhD degree."
49156,Data Analyst,Dutch,Master,Wholesale and retail,2-4,"We are looking for an additional Data Analyst to strengthen our team in the Wholesale and retail industry with knowledge of Dutch and 2-4 years of experience, preferably with a Master degree."
36966,Finance Manager,Spanish,Master,Hotels and restaurants,5-10,"We are looking for an additional Finance Manager to strengthen our team in the Hotels and restaurants industry with knowledge of Spanish and 5-10 years of experience, preferably with a Master degree."
32890,Professor,French,PhD,Research,5-10,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of French and 5-10 years of experience, preferably with a PhD degree."
48810,Janitor,Dutch,High School,Cleaning,10+,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of Dutch and 10+ years of experience, preferably with a High School degree."
27557,Data Analyst,Spanish,Bachelor,Research,2-4,"We are looking for an additional Data Analyst to strengthen our team in the Research industry with knowledge of Spanish and 2-4 years of experience, preferably with a Bachelor degree."
49493,Truck Driver,French,High School,Transport,10+,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of French and 10+ years of experience, preferably with a High School degree."
31106,Administrative Clerk,French,Bachelor,Administration,10+,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of French and 10+ years of experience, preferably with a Bachelor degree."
30359,Truck Driver,Spanish,High School,Transport,2-4,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of Spanish and 2-4 years of experience, preferably with a High School degree."
36910,Data Analyst,German,Bachelor,Transport,2-4,"We are looking for an additional Data Analyst to strengthen our team in the Transport industry with knowledge of German and 2-4 years of experience, preferably with a Bachelor degree."
30356,Finance Manager,Dutch,Master,Technology,10+,"We are looking for an additional Finance Manager to strengthen our team in the Technology industry with knowledge of Dutch and 10+ years of experience, preferably with a Master degree."
49171,Professor,French,PhD,Research,10+,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of French and 10+ years of experience, preferably with a PhD degree."
38168,Truck Driver,French,High School,Transport,2-4,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of French and 2-4 years of experience, preferably with a High School degree."
34033,Professor,French,PhD,Research,0-1,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of French and 0-1 years of experience, preferably with a PhD degree."
44218,Janitor,Spanish,High School,Cleaning,2-4,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of Spanish and 2-4 years of experience, preferably with a High School degree."
39557,Cleaner,Dutch,High School,Cleaning,10+,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of Dutch and 10+ years of experience, preferably with a High School degree."
34232,Finance Manager,English,Bachelor,Transport,5-10,"We are looking for an additional Finance Manager to strengthen our team in the Transport industry with knowledge of English and 5-10 years of experience, preferably with a Bachelor degree."
39354,Data Analyst,French,Master,Logistics,2-4,"We are looking for an additional Data Analyst to strengthen our team in the Logistics industry with knowledge of French and 2-4 years of experience, preferably with a Master degree."
42991,Cleaner,German,High School,Cleaning,5-10,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of German and 5-10 years of experience, preferably with a High School degree."
40190,Cashier,French,High School,Wholesale and retail,0-1,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of French and 0-1 years of experience, preferably with a High School degree."
27024,Cashier,Spanish,High School,Wholesale and retail,2-4,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of Spanish and 2-4 years of experience, preferably with a High School degree."
39250,Janitor,German,High School,Cleaning,5-10,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of German and 5-10 years of experience, preferably with a High School degree."
39363,Data Analyst,Dutch,Bachelor,Transport,5-10,"We are looking for an additional Data Analyst to strengthen our team in the Transport industry with knowledge of Dutch and 5-10 years of experience, preferably with a Bachelor degree."
46317,Cleaner,Spanish,High School,Cleaning,10+,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of Spanish and 10+ years of experience, preferably with a High School degree."
45516,Administrative Clerk,German,High school,Administration,0-1,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of German and 0-1 years of experience, preferably with a High school degree."
37496,Cleaner,German,High School,Cleaning,2-4,"We are looking for an additional Cleaner to strengthen our team in the Cleaning industry with knowledge of German and 2-4 years of experience, preferably with a High School degree."
34519,Truck Driver,German,High School,Transport,2-4,"We are looking for an additional Truck Driver to strengthen our team in the Transport industry with knowledge of German and 2-4 years of experience, preferably with a High School degree."
34235,Janitor,German,High School,Cleaning,0-1,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of German and 0-1 years of experience, preferably with a High School degree."
30352,Data Analyst,German,Bachelor,Wholesale and retail,0-1,"We are looking for an additional Data Analyst to strengthen our team in the Wholesale and retail industry with knowledge of German and 0-1 years of experience, preferably with a Bachelor degree."
41590,Janitor,Dutch,High School,Cleaning,10+,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of Dutch and 10+ years of experience, preferably with a High School degree."
38553,Cashier,Spanish,High School,Wholesale and retail,10+,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of Spanish and 10+ years of experience, preferably with a High School degree."
45554,Professor,Spanish,PhD,Research,0-1,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of Spanish and 0-1 years of experience, preferably with a PhD degree."
32627,Professor,French,PhD,Research,0-1,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of French and 0-1 years of experience, preferably with a PhD degree."
26213,Professor,German,PhD,Research,10+,"We are looking for an additional Professor to strengthen our team in the Research industry with knowledge of German and 10+ years of experience, preferably with a PhD degree."
40293,Finance Manager,Spanish,Master,Education,10+,"We are looking for an additional Finance Manager to strengthen our team in the Education industry with knowledge of Spanish and 10+ years of experience, preferably with a Master degree."
46596,Cashier,Spanish,High School,Wholesale and retail,5-10,"We are looking for an additional Cashier to strengthen our team in the Wholesale and retail industry with knowledge of Spanish and 5-10 years of experience, preferably with a High School degree."
49152,Janitor,French,High School,Cleaning,5-10,"We are looking for an additional Janitor to strengthen our team in the Cleaning industry with knowledge of French and 5-10 years of experience, preferably with a High School degree."
25981,Administrative Clerk,Dutch,Bachelor,Administration,0-1,"We are looking for an additional Administrative Clerk to strengthen our team in the Administration industry with knowledge of Dutch and 0-1 years of experience, preferably with a Bachelor degree."
